Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,42332.30078,42332.30078,38065.10156,39956.30078,34293.19531,3829923
2007-01-01,39956.30078,40344.19922,35398.19922,36125.5,31843.3457,3282876
2007-02-01,36125.5,37677.19922,34816.30078,35640.60156,31415.92383,3946185
2007-03-01,35640.60156,36319.5,33507,36271,31971.59961,4584671
2007-04-01,36125.5,38550.10156,34670.80078,37434.80078,32997.44531,5682349
2007-05-01,37434.80078,44562.89844,37434.80078,44078,38853.19141,6007205
2007-06-01,44078,60710.30078,43059.69922,57994.80078,51120.36719,9438063
2007-07-01,55764.19922,62940.80078,54018.60156,56249.10156,49581.58594,9430311
2007-08-01,55279.30078,56928,45193.30078,55764.19922,49154.16797,5843291
2007-09-01,56152.19922,60613.30078,53242.69922,57122,50351.02344,3437811
2007-10-01,57218.89844,67111,54212.5,64977.39844,57275.27344,8778382
2007-11-01,66141.20313,76518.20313,59158.60156,70311.39844,61977.01172,9243863
2007-12-01,69147.60156,70699.29688,57800.80078,63328.80078,55822.09375,5049730
2008-01-01,62843.89844,77391,62165,74675.60156,67311.96094,8229787
2008-02-01,75645.39844,77100.10156,68371.79688,68759.70313,61979.41016,5209326
2008-03-01,68080.79688,75354.39844,65850.29688,71281.20313,64252.27344,4509854
2008-04-01,70408.39844,75742.39844,68080.79688,75354.39844,67923.8125,5470377
2008-05-01,75354.39844,86119.39844,73802.70313,76518.20313,68972.85156,6609643
2008-06-01,76421.20313,79233.70313,69438.60156,73899.70313,66612.57031,5435255
2008-07-01,73996.70313,76615.20313,65947.29688,74675.60156,67311.96094,5009818
2008-08-01,73802.70313,77585,69244.60156,76324.29688,68798.07031,3683917
2008-09-01,77294.10156,80203.5,58770.60156,66432.20313,59881.42188,9562281
2008-10-01,66529.10156,67402,33022.10156,46357,41785.80078,8505863
2008-11-01,47520.80078,55667.19922,45096.30078,54697.39844,49303.76563,4192075
2008-12-01,54018.60156,59837.39844,47569.30078,55764.19922,50265.375,3936683
2009-01-01,55764.19922,55764.19922,46938.89844,50042.30078,46067.57813,5588145
2009-02-01,49945.39844,51109.10156,39277.39844,39810.80078,36648.73828,4949791
2009-03-01,39810.80078,43350.60156,34137.39844,39180.39844,36068.41016,8966857
2009-04-01,39616.80078,43932.5,39083.39844,41411,38121.84375,13874740
2009-05-01,41411,49363.5,41411,43932.5,40443.05859,12297113
2009-06-01,44368.89844,48296.69922,42865.69922,45872.10156,42228.60547,9021238
2009-07-01,46260.10156,50527.19922,42429.30078,50430.30078,46424.76172,8350184
2009-08-01,50042.30078,52078.89844,46841.89844,48587.60156,44728.42188,8099578
2009-09-01,48442.10156,58091.80078,47375.30078,51691,47585.33203,11987505
2009-10-01,52078.89844,54503.5,46066.10156,48975.5,45085.51172,6799042
2009-11-01,47908.69922,49654.39844,44465.89844,47811.80078,44014.24219,4702972
2009-12-01,47375.30078,48975.5,45193.30078,47132.89844,43389.26172,5201156
2010-01-01,46841.89844,53242.69922,45872.10156,50430.30078,47190.18359,9891253
2010-02-01,50430.30078,52369.89844,47423.80078,48878.60156,45738.18359,4895302
2010-03-01,48878.60156,48878.60156,44999.30078,46357,43378.58984,6763468
2010-04-01,46357,46599.5,43253.60156,43593.10156,40792.26953,4568797
2010-05-01,43544.60156,44223.5,38986.5,41168.5,38523.44531,3756957
2010-06-01,41023.10156,43932.5,40538.19922,40780.60156,38160.47656,3606387
2010-07-01,40829.10156,43641.60156,39713.80078,42962.69922,40202.36719,4359220
2010-08-01,43253.60156,43350.60156,40635.10156,41895.89844,39204.11328,2446096
2010-09-01,42041.39844,47666.30078,41653.5,47375.30078,44331.46484,4328172
2010-10-01,47375.30078,48442.10156,44756.89844,44756.89844,41881.29297,4702350
2010-11-01,44902.30078,45872.10156,42429.30078,43011.19922,40247.75391,3984962
2010-12-01,42865.69922,47035.89844,42865.69922,47035.89844,44013.87109,3261450
2011-01-01,46841.89844,47811.80078,40247.19922,40635.10156,38539.22266,4029034
2011-02-01,40732.10156,42235.30078,35592.10156,35737.60156,33894.32422,2703436
2011-03-01,35689.10156,36174,30209.69922,35495.10156,33664.33594,5428137
2011-04-01,35543.60156,36271,32391.69922,33119.10156,31410.88281,3945491
2011-05-01,33264.60156,38162.10156,33264.60156,36028.5,34170.22266,4794586
2011-06-01,35980.10156,38453.10156,33507,35883.10156,34032.32422,3288576
2011-07-01,35786.10156,36319.5,33846.5,34573.80078,32790.55469,3798931
2011-08-01,34816.30078,35446.69922,26912.30078,33119.10156,31410.88281,7476827
2011-09-01,33264.60156,33991.89844,28270,30112.69922,28559.54688,3209781
2011-10-01,29579.30078,38162.10156,28754.90039,36610.39844,34722.10547,5365299
2011-11-01,36368,39956.30078,33943.39844,36901.39844,34998.09766,4026938
2011-12-01,37434.80078,43447.60156,36174,40441.19922,38355.32031,4690339
2012-01-01,40441.19922,44514.39844,39519.89844,43059.69922,41640.53125,3158220
2012-02-01,42817.19922,43787,36804.39844,37725.69922,36482.32813,4918424
2012-03-01,37725.69922,42283.80078,34428.30078,41847.39844,40468.1875,5967235
2012-04-01,41701.89844,43011.19922,39180.39844,42817.19922,41406.02344,3666346
2012-05-01,42817.19922,44223.5,39277.39844,40101.80078,38780.12109,4091387
2012-06-01,39907.80078,40974.60156,38016.69922,39277.39844,37982.88672,2788464
2012-07-01,39859.30078,43932.5,39131.89844,43059.69922,41640.53125,3199279
2012-08-01,43205.19922,58285.69922,43205.19922,55279.30078,53457.39453,7483158
2012-09-01,55376.30078,75257.5,54018.60156,69632.5,67337.54688,8878945
