Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,60200,60500,54500,57700,54588.58203,5467500
2007-01-01,57700,58400,50300,54900,51939.57031,4250900
2007-02-01,55600,68000,54000,65300,61778.75781,5541300
2007-03-01,64300,67500,60500,63000,59602.78516,3961300
2007-04-01,62700,69500,59600,69500,65752.28125,5942100
2007-05-01,70000,76700,65600,72900,68968.9375,6125800
2007-06-01,73100,82700,70500,76900,72753.25,3381400
2007-07-01,76800,79800,68100,70200,66414.53125,2230200
2007-08-01,69300,72400,56900,66700,63103.25781,1676600
2007-09-01,66700,75000,59100,69000,65279.24219,2550500
2007-10-01,69800,87700,67100,81200,76821.35938,5890800
2007-11-01,82300,90600,68400,86500,81835.5625,5316500
2007-12-01,86600,92200,77700,77800,73604.70313,2115443
2008-01-01,76700,81100,61000,64000,60548.85938,3001853
2008-02-01,65400,86300,64800,84100,79564.98438,2775254
2008-03-01,81500,87000,70000,74100,70104.22656,1883812
2008-04-01,74300,75500,60300,61500,58183.67188,3979395
2008-05-01,62100,66300,57100,61600,58278.27734,3191690
2008-06-01,61400,69700,60300,68800,65090.02344,3086693
2008-07-01,68800,68800,57200,67300,63670.91016,2903802
2008-08-01,67000,67000,56100,58100,54967.01172,1908607
2008-09-01,57300,57400,38650,40250,38079.55469,3362369
2008-10-01,40650,41650,24500,29550,27956.54688,6215825
2008-11-01,29400,37500,20650,28000,26490.12695,6148855
2008-12-01,28050,31800,23850,31800,30085.21094,4828349
2009-01-01,31800,33100,26500,27500,26017.08984,3311359
2009-02-01,27400,28300,23000,25500,24124.9375,5578499
2009-03-01,25350,31000,22550,28650,27105.07422,5082737
2009-04-01,28800,41400,28800,35200,33301.875,9791693
2009-05-01,35300,37500,32100,36950,34957.50781,4593954
2009-06-01,37400,47850,35200,45200,42762.62891,7692474
2009-07-01,44500,51800,41650,50000,47303.79688,4346193
2009-08-01,50600,51100,41950,44700,42289.59375,3005845
2009-09-01,44750,56300,44500,54200,51277.31641,3580846
2009-10-01,54100,59000,49900,55100,52128.78516,2343730
2009-11-01,53500,64200,52200,62700,59318.96484,2045210
2009-12-01,63000,73300,61500,70300,66509.14063,2754195
2010-01-01,70300,78500,67700,70600,66792.95313,2845041
2010-02-01,70600,73900,66100,70300,66509.14063,1495128
2010-03-01,70500,71400,66500,67400,63765.51563,1798326
2010-04-01,67100,70400,64300,66600,63008.65625,2527479
2010-05-01,67100,84000,66900,78600,74361.55469,6665288
2010-06-01,79400,87600,75200,84600,80038.02344,4090636
2010-07-01,83600,86600,79800,85000,80416.45313,1998940
2010-08-01,84900,87100,67600,70300,66509.14063,3686743
2010-09-01,70300,79000,68000,78800,74550.78125,4004731
2010-10-01,78800,83500,76000,78500,74266.95313,2866077
2010-11-01,78800,84500,74000,76500,72374.80469,2892117
2010-12-01,76100,78200,72600,77200,73037.07031,1662053
2011-01-01,77500,84700,76100,80600,77043.125,1939260
2011-02-01,80700,99900,80100,99600,95204.64844,2566957
2011-03-01,98100,100900,86000,98000,93675.25781,2693422
2011-04-01,97800,110100,94600,109800,104954.5313,2554193
