Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,60900,64600,56200,56500,35708.59375,18733131
2007-01-01,56500,58500,54800,57300,37728.38672,9508826
2007-02-01,57400,59900,56300,57000,37530.84766,6701101
2007-03-01,56900,61500,55400,61500,40493.82031,10058300
2007-04-01,61000,69100,59700,67100,44181.05859,10350490
2007-05-01,67100,71000,64700,68000,44773.66016,10070119
2007-06-01,67800,70700,63200,65000,42798.34375,13190574
2007-07-01,65900,74000,64900,69100,45497.92969,18428004
2007-08-01,68900,72200,62400,71400,47012.33594,10670715
2007-09-01,71300,73200,67000,71500,47078.17578,7642876
2007-10-01,72000,76900,66500,72400,47670.76953,11053297
2007-11-01,73400,81400,73000,76800,50567.88672,11494284
2007-12-01,76800,86100,76500,81600,53728.38672,7854526
2008-01-01,79700,83900,75500,81000,55088.58594,10132784
2008-02-01,80600,84400,77600,77800,52912.25,7268496
2008-03-01,77000,81600,68400,77600,52776.23438,8403503
2008-04-01,77000,85800,73400,83000,56448.80859,7993234
2008-05-01,83000,89900,79100,89400,60801.48828,7635442
2008-06-01,88100,92600,86400,90000,61209.54688,7713298
2008-07-01,90100,91900,83500,89800,61073.53125,10270547
2008-08-01,90000,93400,87500,91800,62433.73438,9908057
2008-09-01,91000,98100,84600,89800,61073.53125,16757049
2008-10-01,90700,92000,69400,82800,56312.78516,18126004
2008-11-01,82700,89000,78600,81400,55360.64453,12828181
2008-12-01,79500,86600,74500,79100,53796.39063,12746323
2009-01-01,79100,86600,77300,83000,58431.95313,11494960
2009-02-01,83000,84900,77500,78900,55545.55078,10408115
2009-03-01,79500,81400,74000,76100,53574.36328,16196448
2009-04-01,76300,76500,70200,70600,49702.35938,23357974
2009-05-01,70600,73500,65200,68200,48012.75781,21086983
2009-06-01,68500,73100,65200,72000,50687.96094,16442729
2009-07-01,71200,72000,66000,71300,50195.15625,20089072
2009-08-01,71100,71300,66100,67300,47379.16016,15618747
2009-09-01,66900,72400,66200,71400,50265.55859,17309917
2009-10-01,71800,73700,68600,69100,48646.36328,12899312
2009-11-01,68900,69500,66400,67400,47449.5625,8995087
2009-12-01,67300,69900,64100,64400,45337.5625,10205856
2010-01-01,65100,68300,62000,67700,49723.35938,17108194
2010-02-01,68200,70500,62900,64200,47152.73047,10501115
2010-03-01,64200,66000,62100,62600,45977.58594,11496980
2010-04-01,62500,62800,55700,56000,41130.10938,16999608
2010-05-01,56300,60300,55600,60100,44141.41406,10193939
2010-06-01,60100,63900,59200,60200,44214.86328,9439193
2010-07-01,60800,62000,58100,59400,43627.28906,9099353
2010-08-01,59400,62500,58600,61000,44802.44141,6193988
2010-09-01,60700,70000,60600,68000,49943.69922,7455595
2010-10-01,68000,71800,65000,69100,50751.61328,7346593
2010-11-01,69700,70200,60600,62700,46051.02734,10770200
2010-12-01,63500,69100,62900,64700,47519.96094,7266415
2011-01-01,64800,65900,58800,59100,45392.02734,8352428
2011-02-01,62000,62000,55800,57300,44009.53125,7061566
2011-03-01,58100,61400,54100,57100,43855.91406,9914242
2011-04-01,56600,63800,53400,63400,48694.66016,13117656
2011-05-01,64000,67500,61200,63300,48617.85938,10476195
2011-06-01,63700,67000,62000,66400,50998.82422,8001484
2011-07-01,66500,69800,65300,65600,50384.38672,6304064
2011-08-01,65300,71900,63000,68800,52842.15625,19730950
2011-09-01,68800,77500,68000,73500,56452.00781,12239869
2011-10-01,75000,80000,69200,69500,53379.79297,10376551
2011-11-01,70300,78500,69300,77400,59447.42188,11864952
2011-12-01,77000,85300,75700,81400,62519.64844,8035839
2012-01-01,81900,83900,70200,78600,62786.87891,11655725
2012-02-01,78600,78700,71700,73200,58473.27344,9570478
2012-03-01,73200,80400,70200,80400,64224.74609,10411072
2012-04-01,79000,80400,76100,77600,61988.0625,6707941
2012-05-01,77600,81700,73900,78600,62786.87891,5994610
2012-06-01,80700,82600,77500,81200,64863.79297,6984040
2012-07-01,81500,88000,78600,83300,66541.30469,6395769
2012-08-01,83000,87600,82400,85900,68618.23438,5613931
2012-09-01,85700,91100,82600,84700,67659.64844,6041151
2012-10-01,84700,92300,80700,83100,66381.54688,6390261
2012-11-01,82200,88000,80800,85700,68458.46094,5277270
2012-12-01,87400,87900,79800,80800,64544.28125,6180811
2013-01-01,80800,82400,74400,75900,63064.41016,9144740
2013-02-01,76400,79400,75100,77200,64144.5625,6461690
2013-03-01,77200,77200,73800,76600,63646.02344,7745585
2013-04-01,77000,80700,72500,79300,65889.42969,7190520
2013-05-01,79300,81200,75400,79600,66138.69531,6623580
2013-06-01,80400,80400,71000,74200,61651.89844,6678737
2013-07-01,76500,80400,73600,75700,62898.22656,5168075
2013-08-01,75100,76400,71400,72600,60322.47656,3924723
2013-09-01,73000,77900,72800,77000,63978.38281,4600750
2013-10-01,76900,81000,76100,77500,64393.82031,3870643
2013-11-01,77100,79800,75000,78500,65224.71094,4229124
2013-12-01,78500,78500,73600,74500,61901.16406,5589641
2014-01-01,74500,76500,72500,75700,65589.0625,4280025
2014-02-01,75800,79000,73800,78200,67755.14063,5351398
2014-03-01,77300,81400,75500,80000,69314.73438,5346494
2014-04-01,80000,85000,77900,82800,71740.75,5699186
2014-05-01,82800,89200,82300,83000,71914.03906,4680140
2014-06-01,83600,90300,83300,89500,77545.85156,4148340
2014-07-01,88700,104500,88700,99600,86296.83594,5204184
2014-08-01,100000,104500,93200,94900,82224.60156,5750900
2014-09-01,94600,97900,85700,94500,81878.02344,7266116
2014-10-01,93600,95200,88800,95000,82311.24219,6598304
2014-11-01,94200,97500,91100,96900,83957.46875,4223097
2014-12-01,95000,95000,75100,76100,65935.64844,10610531
2015-01-01,76100,84600,74700,80200,72568.32031,8574136
2015-02-01,79500,84500,77700,80000,72387.35938,4382509
2015-03-01,80000,92700,78800,88700,80259.47656,6874583
2015-04-01,87900,103500,87900,95100,86050.46875,7767171
2015-05-01,95100,102500,92500,96400,87226.76563,4713633
2015-06-01,95500,99300,90100,94900,85869.50781,5017103
2015-07-01,94600,110500,93400,110000,99532.61719,5970366
2015-08-01,115000,115000,101500,109000,98627.77344,9345353
2015-09-01,109000,112000,103000,111500,100889.875,7484260
2015-10-01,108500,120500,107000,114000,103151.9844,5378836
2015-11-01,113000,117000,104000,107000,96818.09375,5202463
2015-12-01,108000,112500,104000,104500,94555.98438,5331838
2016-01-01,104500,109500,93700,103500,96638.13281,6243597
2016-02-01,103500,110000,101500,106500,99439.24219,4798910
2016-03-01,106500,113000,103000,110000,102707.2031,5823676
2016-04-01,111000,127000,108000,123000,114845.3203,7691265
2016-05-01,123000,132000,122000,127500,119046.9766,5714981
2016-06-01,127000,136500,122500,136500,127450.2969,5074811
2016-07-01,137500,139500,121000,121000,112977.9219,7016478
2016-08-01,122000,127000,115000,117000,109243.1094,6973624
2016-09-01,117000,127500,114000,125000,116712.7266,6020988
2016-10-01,125000,127500,106000,113000,105508.3047,7748655
2016-11-01,113500,114500,100000,105000,98038.6875,8151031
2016-12-01,104500,107500,100500,101000,94303.88281,6243637
2017-01-01,101000,103000,97000,100500,97135.98438,6063242
2017-02-01,100500,105500,97100,102500,99069.03906,6447396
2017-03-01,102500,104000,94900,97500,94236.40625,11549712
2017-04-01,98700,107500,97800,101500,98102.51563,7527618
2017-05-01,101500,111500,100500,111000,107284.5234,7452157
2017-06-01,112000,122500,110000,117000,113083.6875,6446573
2017-07-01,117000,121500,111000,114000,110184.1016,5503543
2017-08-01,113500,116000,110000,114500,110667.3672,5949153
2017-09-01,114000,114500,100500,105500,101968.625,6639684
2017-10-01,105500,110000,102000,106000,102451.8828,6081637
2017-11-01,105000,126500,104500,122000,117916.3203,8446699
2017-12-01,121500,122500,113000,115500,111633.8906,5334071
2018-01-01,115500,115500,105000,115000,115000,7375306
2018-02-01,107000,108000,98400,99800,99800,7828260
2018-03-01,99800,102000,96900,100000,100000,6531531
2018-04-01,99900,102500,97200,97800,97800,5646376
2018-05-01,97800,101500,95600,96000,96000,5113691
2018-06-01,95600,107000,95500,107000,107000,6522847
2018-07-01,106500,110500,105000,110500,110500,5316826
2018-08-01,110500,110500,99200,101000,101000,5023072
2018-09-01,100500,107000,99600,104000,104000,3350160
2018-10-01,103500,104500,95800,101500,101500,7100906
2018-11-01,100500,107500,97000,104000,104000,6095595
2018-12-01,104500,109500,100500,101500,101500,5703940
2019-01-01,101500,103500,96600,99100,99100,6223050
2019-02-01,100000,107000,97700,105500,105500,5051424
2019-03-01,105500,109500,103000,103500,103500,11181502
2019-04-01,104500,106000,100000,102000,102000,4777662
2019-05-01,102000,104500,98000,101000,101000,15954953
2019-06-01,100000,102000,98500,98500,98500,4353145
2019-07-01,99000,99700,96300,96300,96300,5438452
2019-08-01,96200,104000,95300,102000,102000,7473332
2019-09-01,101500,106000,100500,105500,105500,4403108
2019-10-01,105000,106500,100000,100000,100000,4322569
2019-11-01,100000,102000,97500,97800,97800,7394945
2019-12-01,98000,98000,93700,93800,93800,12736765
2020-01-01,93800,98100,91200,95100,95100,9290199
2020-02-01,94800,94900,82700,84700,84700,9830861
2020-03-01,85300,86600,63000,74700,74700,14757699
2020-04-01,73500,82000,69100,81100,81100,10890877
2020-05-01,81100,87400,76400,83900,83900,10858195
2020-06-01,83900,89500,77000,78200,78200,10301105
2020-07-01,79100,84100,77700,80900,80900,7646656
2020-08-01,80900,89500,79500,83100,83100,10714927
2020-09-01,82900,85400,80100,82400,82400,7053065
2020-10-01,82400,84200,82100,83800,83800,1125234
