Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,25911.80078,28363.19922,25862.69922,27971,26376.20313,16459284
2007-01-01,28363.19922,32751.30078,27407.09961,30324.30078,28595.32617,26973095
2007-02-01,30814.59961,33707.30078,30275.30078,31623.59961,29820.54492,29218711
2007-03-01,31255.90039,34540.80078,30152.69922,33829.89844,31901.05273,18732229
2007-04-01,33143.5,38144.5,33143.5,36036.19922,33981.55078,21667649
2007-05-01,36036.19922,43390.5,35791.10156,43390.5,40916.54297,22040898
2007-06-01,44346.60156,45670.39844,39247.60156,41306.80078,38951.65234,21219339
2007-07-01,40571.39844,43635.69922,38414.10156,41650,39275.27734,19813637
2007-08-01,41650,45057.5,36085.19922,44371.10156,41841.23828,17840514
2007-09-01,45106.60156,53466,43243.5,51921.60156,48961.23047,15140879
2007-10-01,51921.60156,73543.29688,51137.10156,70111.29688,66113.82813,23216939
2007-11-01,72293.10156,72317.60156,55304.60156,64031.69922,60380.85938,20357398
2007-12-01,64693.60156,66311.5,51112.60156,55427.10156,52266.85938,14255029
2008-01-01,55917.39844,63688.5,44542.69922,49028.89844,46233.46094,21336457
2008-02-01,49519.10156,56701.89844,47361.89844,52338.30078,49354.17188,14856044
2008-03-01,50009.39844,57608.89844,46087.10156,56652.80078,53422.67969,18071819
2008-04-01,57608.89844,60084.89844,50573.30078,57118.60156,53861.92188,16837528
2008-05-01,58834.60156,59570.10156,49028.89844,52240.19922,49261.67188,22962354
2008-06-01,52215.69922,52289.30078,42532.5,44738.80078,42187.96484,19242269
2008-07-01,45106.60156,45376.19922,37016.80078,41184.19922,38836.03906,20335998
2008-08-01,41159.69922,43611.19922,33805.39844,36771.60156,34675.03516,16713360
2008-09-01,35619.5,39639.80078,31746.19922,36771.60156,34675.03516,27187567
2008-10-01,37261.89844,37776.69922,26916.80078,33070,31184.47852,34467991
2008-11-01,33315.10156,35423.39844,21768.80078,30030.19922,28317.99805,30775562
