Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,12800,13020,11980,12260,0.18998,334882950
2007-01-01,12260,12560,11500,11600,0.30563,531310950
2007-02-01,11520,12240,11160,11400,0.30036,524155550
2007-03-01,11340,12080,11180,11260,0.296672,472095050
2007-04-01,11280,12200,11240,11480,0.302468,529431800
2007-05-01,11480,11860,10500,10700,0.281917,527919550
2007-06-01,10920,12020,10860,11320,0.298253,589274200
2007-07-01,11560,13740,11320,12280,0.338094,758937100
2007-08-01,12000,12500,11160,11820,0.325429,602487450
2007-09-01,11820,11820,10640,11500,0.316619,418140900
2007-10-01,11520,11700,10000,11000,0.302853,800944650
2007-11-01,11100,11460,10180,11300,0.311113,716837750
2007-12-01,11100,12340,10880,11520,0.31717,438530150
2008-01-01,11120,11940,10220,11900,0.938886,678336250
2008-02-01,12020,12360,11200,11200,0.883657,385338900
2008-03-01,10900,12580,10840,12460,0.983069,521707300
2008-04-01,12560,14380,12360,14220,1.121929,564241050
2008-05-01,14220,15280,13440,14820,1.169268,546951250
2008-06-01,14700,14820,12500,12500,0.986224,457783250
2008-07-01,12520,12900,10840,11280,0.924733,686861850
2008-08-01,11180,12040,10240,10320,0.846033,452007500
2008-09-01,10060,11420,10000,10780,0.883743,647477700
2008-10-01,10840,11200,8040,10540,0.864068,887870500
2008-11-01,10620,10900,8220,9720,0.796845,688690600
2008-12-01,9710,10040,8510,9020,0.739459,623001450
2009-01-01,9020,10480,8770,9780,1.774778,524452600
2009-02-01,9760,10960,9220,9540,1.731225,515027250
2009-03-01,9510,11800,9090,11360,2.061501,484961500
2009-04-01,11400,12640,11100,11840,2.148606,629911100
2009-05-01,11840,11940,10400,11160,2.025206,557698250
2009-06-01,11040,12180,10880,11840,2.148606,549104550
2009-07-01,11880,14580,11800,14480,2.742735,533882200
2009-08-01,14640,15700,13820,15420,2.920786,478266250
2009-09-01,15600,16580,15200,16300,3.08747,510264550
2009-10-01,16220,16300,14020,14460,2.738946,559186150
2009-11-01,14220,15300,14160,14400,2.727582,392959900
2009-12-01,14400,15980,14360,15980,3.026858,350257400
2010-01-01,16060,17000,15600,15680,5.673339,377877450
2010-02-01,15680,15800,14660,14880,5.383884,300965750
2010-03-01,14880,16680,14880,16360,5.919376,300093550
2010-04-01,16520,17500,16300,16980,6.143707,365097050
2010-05-01,16900,16900,14720,15520,5.615449,375316700
2010-06-01,15520,16780,15300,15480,5.600974,313879000
2010-07-01,15580,16800,15100,16200,8.545316,361875300
2010-08-01,16340,16440,15120,15120,7.97563,282213150
2010-09-01,15240,15800,14900,15540,8.197175,383366350
2010-10-01,15440,15880,14700,14900,7.859581,410083200
2010-11-01,15060,17060,14740,16520,8.714115,504345700
2010-12-01,16480,19060,16280,18980,10.011737,385271850
2011-01-01,19100,20280,18160,19620,14.109987,400595100
2011-02-01,19640,20080,18260,18460,13.275755,316496950
2011-03-01,18280,18900,17060,18640,13.405205,543765100
2011-04-01,18720,18960,17060,17860,12.844258,457415250
2011-05-01,18200,18800,17060,18040,12.973706,393137750
2011-06-01,18040,18240,15900,16520,11.88058,348643550
2011-07-01,16860,17980,16120,16880,12.515546,320490800
2011-08-01,17100,17500,13440,14880,11.032663,546105850
2011-09-01,15180,16960,14200,16800,12.456231,411672800
2011-10-01,16100,19400,15920,19360,14.354323,414852250
2011-11-01,19360,20200,18420,20080,14.888162,408688100
2011-12-01,20700,21680,19680,21160,15.688917,337989750
2012-01-01,21400,22600,20220,22140,21.402021,358476200
2012-02-01,22140,24180,21120,24120,23.316031,351885600
2012-03-01,24120,26220,23300,25500,24.650028,284509050
2012-04-01,25500,28180,24820,27800,26.873365,300975450
2012-05-01,27800,28360,23300,24220,23.412695,386507600
2012-06-01,24260,25500,22560,24020,23.21936,364919800
2012-07-01,24160,26680,21820,26180,25.861374,410074850
2012-08-01,25840,27100,23460,24660,24.35988,435405700
2012-09-01,24400,27200,23780,26920,26.592365,304100650
2012-10-01,26920,27800,25520,26200,25.881132,266171450
2012-11-01,25900,28860,25800,28120,27.777763,275160850
2012-12-01,28400,30720,28160,30440,30.069532,272825100
2013-01-01,30440,31680,27420,28960,38.404652,330295050
2013-02-01,29200,31180,28280,30880,40.950813,196753700
2013-03-01,30880,31500,28680,30540,40.499924,282013100
2013-04-01,30700,31320,29100,30400,40.314274,252930150
2013-05-01,30400,31180,29240,30760,40.791668,246520000
2013-06-01,30720,31180,24900,26840,35.593258,415593000
2013-07-01,26680,27040,24180,25600,34.635525,321327250
2013-08-01,25700,27360,24260,27360,37.016716,269993550
2013-09-01,27360,28500,26420,27340,36.989658,244496450
2013-10-01,27600,30040,27200,29300,39.641438,219926800
2013-11-01,29800,30040,28140,29880,40.426147,198269950
2013-12-01,30000,30060,27200,27440,37.124947,204075700
2014-01-01,27440,27440,25440,25600,67.920349,318015300
2014-02-01,25720,26980,24680,26980,71.581696,211548800
2014-03-01,26720,26900,24820,26860,71.263329,221259700
2014-04-01,26900,28560,26520,26860,71.263329,247482900
2014-05-01,26860,29640,26520,28860,76.569595,230611150
2014-06-01,28860,29900,25920,26440,70.148994,261116200
2014-07-01,26160,28160,25640,26860,72.633781,237436950
2014-08-01,26100,26560,24420,24680,66.738708,255655100
2014-09-01,24720,24740,22820,23680,64.034523,249526800
2014-10-01,23480,25000,21560,24880,67.279526,306917050
2014-11-01,25000,26020,23600,25740,69.605103,263748900
2014-12-01,25880,27140,25040,26540,71.768448,256107700
2015-01-01,26540,28000,25640,27300,264.746674,263020700
2015-02-01,27300,28000,26620,27140,263.195068,150436850
2015-03-01,27500,30200,27340,28820,279.487152,279921800
2015-04-01,28740,29880,27180,28200,273.474609,248299150
2015-05-01,28200,28460,25940,26140,253.497406,192595550
2015-06-01,26000,27100,24800,25360,245.933151,238892000
2015-07-01,25360,26220,23500,23700,239.193115,267818250
2015-08-01,23680,23740,20660,21780,219.815475,318101750
2015-09-01,21780,23840,21300,22680,228.898758,271320150
